,MEDICINES  LIST   7-6-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ANTI DIABETIC - A (1-10),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DATE,STOCK FOR JUNE,COST,TOTAL STOCK,,,,,,,,
,39,TAB  PLAYCET / ELCISAN,Mar-27,1690,,1000,,,,,,,,
,,LevoCetrizine 5mg ,,,,,,,,,,,,
,40,TAB LEVOST M,Jan-27,1000,,2600,,,,,,,,
,,Montelukast 10mg + Levocetrizine hydrochloride 5mg,,,,,,,,,,,,
,41,LIQUID PARAFFIN BOTTLES (ORALOIL),,71,,0,,,,,,,,
,,Liquid Petrolatum+ Mineral Oil,,,,,,,,,,,,
,42, SCABAVENT CREAM,,54,,0,,,,,,,,
,,Permethrin Cream,,,,,,,,,,,,
,43,CALAGY  LOTION / CUTWIN LOTION,,39,,60,,,,,,,,25
,,Calamine with Light Liquid Paraffin and Aloe,,,,,,,,,,,,
,44,MUROP CREAM / CIPIBET CREAM,Sep-26,78,,275,,,,,,,,
,,Mupirocin 2% Ointment,,,,,,,,,,,,
,45,TAB EFECTRA 100,Oct-26,940,,0,,,,,,,,
,,Itracanazole 100 mg,,,,,,,,,,,,
,46,CLOBIMET CREAM / CANDRING CREAM,Aug-26,64,,0,,,,,,,,
,,Clotrimazole cream IP 1% W/W,,,,,,,,,,,,
,47,CLINDACAM GEL / TOCAN GEL,Mar-27,25,,0,,,,,,,,
,,Clindamycin Phosphate Gel USP,,,,,,,,,,,,
,48,TAB DESOMAC 5,Mar-27,870,,0,,,,,,,,
,,Desloratadine ,,,,,,,,,,,,
,49,TAB BILAA 20 / BILANCHY 20,Sep-27,1226,,0,,,,,,,,
,,Bilastine 20 mg,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,GASTRIC AND ANTACIDS - F (51-65),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP  DT,STOCK,COST,TOTAL STOCK,,,,,,,,
,51,TAB SANSIVO 4 HD ,Aug-26,595,,600,,,,,,,,
,,Ondansetron HCL 4 mg(Mouth Dissolve),,,,,,,,,,,,
,52,TAB METRONEED  400,Oct-26,580,,400,,,,,,,,
,,Metronidazole 400 mg,,,,,,,,,,,,
,53,TAB BENDEX 400,Aug-26,47,,0,,,,,,,,
,,  Albendazole 400mg,,,,,,,,,,,,
,54,TAB  RAPRA 20 ,May-27,1095,,4000,,,,,,,,
,,Rabeprozole 20mg,,,,,,,,,,,,
,56,TAB   ACINOK 40,Nov-26,4480,,0,,,,,,,,
,,Pentaprozole 40mg,,,,,,,,,,,,
,57,CAP PENRAB  DSR / RAPRA DSR,Oct-26,3680,,3200,,,,,,,,
,,Pentaprozole and Domperidone SR Capsules,,,,,,,,,,,,
,58,TAB  LEXINET,Sep-26,600,,400,,,,,,,,
,,Sodium Bicarbonate,,,,,,,,,,,,
,59,SYRUP SANSILAX,Aug-26,66,,,,,,,,,,
,,"Milk of Magnesia 1.25 ml, Liquid Paraffin 3.75 ml, Sod, PicoSulphate 3.33 ml",,,,,,,,,,,,
,60,SYRUP A2 MPS,Oct-27,20,,39,,,,,,,,
,,Simenthicone 50 mg + Dried Aluminium Hydroxide gel 253 mg + Magnesium Hydroxide 250 ml,,,,,,,,,,,,
,61,SYRUP ALKASIL,Jan-27,18,,0,,,,,,,,
,,Disodium Hydrogen Citrate 1.37gm Syrup,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ANTIBIOTICS - G  (66-75),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DT,STOCK,COST,TOTAL STOCK,,,,,,,,
,66,TAB -  MOXITIV CV 625,May-27,1250,,2000,,,,,,,,
,,Amoxycillin 500mg + Clavulanic Acid 125mg      ,,,,,,,,,,,,
,67,TAB PODTIV - 200,Feb-27,600,,1100,,,,,,,,
,,Cefpodoxime 200 mg,,,,,,,,,,,,
,69,TAB – AZIDOVE 500MG ,Oct-26,565,,1000,,,,,,,,
,,Azithromycin 500mg,,,,,,,,,,,,
,71,TAB FIXTRUM 200 LB ,Oct-27,425,,500,,,,,,,,
,,Cefixime 200mg + Lactic Acid Bacillus 60 Million Spores,,,,,,,,,,,,
,,,,,,,,,,,,,,
,COUGH & COLD  - H (76-85),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DT,STOCK,COST,TOTAL STOCK,,,,,,,,
,76,TAB -CHESTON COLD / COLDMINE,May-27,1200,,1600,,,,,,,,
,,Diphenhydramine Hyderochloride 25mg +Caffeine 30 mg + Paracetamol 500mg  +Phenylephrine 5 mg,,,,,,,,,,,,
,77,TAB DERICIP RETARD,Apr-28,860,,2000,,,,,,,,
,,ETHOPHYLLINE 115 mg AND THEOPHYLINE 35 mg Prolongid Relax  Deriphyllin ,,,,,,,,,,,,
,78,ELCISAN M SYRUP,Jun-27,59,,0,,,,,,,,
,,Levocetrizine Dihydrochloride & Montelikast Sodium,,,,,,,,,,,,
,79,SYRUP BRONCOWEL - DM,Nov-26,20,,,,,,,,,,
,,Dextromethorphan Hbr 10 mg+ CPM 2mg +Phenylephrine Hcl 5mg,,,,,,,,,,,,
,80,SYRUP BRONCOWEL - TL,Dec-26,19,,,,,,,,,,
,,"Terbutaline Sulphate,Guaiphenesin ,Ambroxil Hcl,Menthol ",,,,,,,,,,,,
,81,ALKOF LOZENZES,Jul-27,320,,0,,,,,,,,
,,Lozenzes,,,,,,,,,,,,
,,,,,,,,,,,,,,
,PAIN KILLERS - I (86-100),,,,,,,,,,,,,
